429,24,108.9,7.65162
237,27,115.1,7.49112
40,27,81.1,7.37985
57,29,89.9,7.41861
48,32,162.2,10.26
430,39,64.2,6.83822
297,42,104.9,7.36388
492,45,133.1,9.40158
84,51,86.1,5.62369
317,52,162.5,10.2506
216,61,60.7,2.93135
68,68,141.95,5.42674
476,73,116.15,4.27429
323,76,107.67,4.02931
458,77,152.91,2.55482
429,24,110.058,8.034201
237,27,120.71,7.2663864
40,27,78.295,7.675044
57,29,94.852,7.7895405
48,32,167.708,9.9522
430,39,66.248,7.522042
297,42,102.206,7.2166024
492,45,131.345,8.3674062
84,51,86.341,6.0735852
317,52,162.275,10.353106
216,61,59.764,2.8434095
68,68,142.089,5.5352748
476,73,115.7765,4.4880045
323,76,107.3397,3.5457928
458,77,153.201,2.5803682
429,24,113.532,7.1925228
237,27,111.734,7.7158536
40,27,79.978,7.1584545
57,29,90.519,6.5283768
48,32,162.812,9.9522
430,39,61.128,7.3168954
297,42,108.492,7.5111576
492,45,132.398,9.5896116
84,51,85.618,5.061321
317,52,161.825,9.533058
216,61,61.753,2.8434095
68,68,142.645,6.1322162
476,73,116.3575,3.9323468
323,76,107.5966,4.02931
458,77,153.201,2.5037236
429,24,114.69,7.269039
237,27,120.71,7.2663864
40,27,83.905,8.0440365
57,29,85.567,7.2702378
48,32,166.484,11.5938
430,39,68.296,7.6588064
297,42,104.451,7.8793516
492,45,135.908,10.341738
84,51,84.654,6.1298221
317,52,163.625,10.353106
216,61,61.285,3.1951715
68,68,142.2975,5.1011356
476,73,116.067,4.7444619
323,76,107.9269,3.9487238
458,77,152.7645,2.2737898
429,24,104.268,7.3455552
237,27,120.149,7.9405872
40,27,81.661,7.6012455
57,29,91.138,6.4541907
48,32,163.424,10.8756
430,39,65.736,6.9749844
297,42,104.002,7.2902412
492,45,130.292,9.871659
84,51,87.787,6.0173483
317,52,162.05,9.123034
216,61,61.753,3.0192905
68,68,142.4365,5.698077
476,73,116.1915,4.4880045
323,76,107.9269,4.3516548
458,77,153.201,2.810302
